rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
127140,36,Beijing,ë‘ã__Œ,39.955906,116.474246,399,265,3,65,15,5,12,8,1013,77,2,2.01E+13,1395882000
127152,47,Shanghai,_Ù__µà,31.202842,121.453493,107,35,18,21,3,5,12,11,1017,95,5,2.01E+13,1395882000
127526,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,254,139,10,38,27,15,14,12,1013,88,7,2.01E+13,1395892800
127996,965,Chongqing,_öçë_æ,29.560161,106.555275,180,156,1,52,26,20,19,13,1009,68,2,2.01E+13,1395903600
128049,36,Beijing,ë‘ã__Œ,39.955906,116.474246,356,266,2,48,30,4,15,1,1012,39,11,2.01E+13,1395910800
128061,47,Shanghai,_Ù__µà,31.202842,121.453493,99,44,27,20,5,4,19,12,1015,62,7,2.01E+13,1395910800
128441,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,209,143,30,56,40,22,15,8,1008,63,9,2.01E+13,1395918000
128911,965,Chongqing,_öçë_æ,29.560161,106.555275,168,106,9,39,21,13,17,12,1009,72,2,2.01E+13,1395928800
128964,36,Beijing,ë‘ã__Œ,39.955906,116.474246,198,124,4,43,23,6,13,2,1008,47,2,2.01E+13,1395939600
128976,47,Shanghai,_Ù__µà,31.202842,121.453493,117,47,36,29,6,6,11,10,1015,89,6,2.01E+13,1395939600
129356,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,262,162,7,45,42,35,11,8,1007,82,2,2.01E+13,1395946800
129827,965,Chongqing,_öçë_æ,29.560161,106.555275,154,62,2,13,11,14,14,13,1007,94,7,2.01E+13,1395957600
129880,36,Beijing,ë‘ã__Œ,39.955906,116.474246,225,110,2,34,15,3,13,9,1008,77,7,2.01E+13,1395968400
129892,47,Shanghai,_Ù__µà,31.202842,121.453493,93,34,33,22,4,3,15,13,1013,91,7,2.01E+13,1395968400
130272,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,290,248,5,55,34,20,15,8,1007,63,2,2.01E+13,1395975600
130743,965,Chongqing,_öçë_æ,29.560161,106.555275,127,55,3,31,7,13,16,14,1009,88,4,2.01E+13,1395986400
130796,36,Beijing,ë‘ã__Œ,39.955906,116.474246,153,88,24,9,5,6,22,4,1006,31,9,2.01E+13,1395997200
130808,47,Shanghai,_Ù__µà,31.202842,121.453493,87,25,36,17,5,6,18,16,1007,88,1,2.01E+13,1395997200
131188,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,308,280,10,51,32,34,14,11,1007,82,4,2.01E+13,1396004400
131658,965,Chongqing,_öçë_æ,29.560161,106.555275,178,95,16,43,14,16,16,14,1011,88,2,2.01E+13,1396015200
131711,36,Beijing,ë‘ã__Œ,39.955906,116.474246,272,135,24,56,20,8,12,7,1011,72,2,2.01E+13,1396026000
131723,47,Shanghai,_Ù__µà,31.202842,121.453493,153,61,24,40,7,8,16,15,1007,96,0,2.01E+13,1396026000
132103,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,242,0,4,39,30,30,11,10,1011,94,2,2.01E+13,1396033200
132574,965,Chongqing,_öçë_æ,29.560161,106.555275,161,77,2,27,6,18,13,13,1012,100,7,2.01E+13,1396044000
132627,36,Beijing,ë‘ã__Œ,39.955906,116.474246,78,64,11,16,4,9,14,2,1014,44,7,2.01E+13,1396054800
132639,47,Shanghai,_Ù__µà,31.202842,121.453493,154,56,7,32,12,9,17,17,1004,96,1,2.01E+13,1396054800
133019,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,262,123,6,35,37,28,17,7,1015,52,4,2.01E+13,1396062000
133489,965,Chongqing,_öçë_æ,29.560161,106.555275,127,46,12,19,17,12,24,15,1011,57,4,2.01E+13,1396072800
133542,36,Beijing,ë‘ã__Œ,39.955906,116.474246,74,62,36,5,2,18,23,-2,1011,19,4,2.01E+13,1396083600
133554,47,Shanghai,_Ù__µà,31.202842,121.453493,99,61,8,43,13,18,15,14,1004,95,1,2.01E+13,1396083600
133934,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,163,167,37,22,11,15,17,8,1012,55,11,2.01E+13,1396090800
134404,965,Chongqing,_öçë_æ,29.560161,106.555275,95,50,31,32,8,9,21,14,1008,64,11,2.01E+13,1396101600
134457,36,Beijing,ë‘ã__Œ,39.955906,116.474246,153,75,33,28,5,11,15,0,1014,36,4,2.01E+13,1396112400
134469,47,Shanghai,_Ù__µà,31.202842,121.453493,161,82,20,21,9,11,14,12,1011,91,4,2.01E+13,1396112400
134849,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,212,118,23,28,17,18,13,8,1015,72,7,2.01E+13,1396119600
135320,965,Chongqing,_öçë_æ,29.560161,106.555275,85,36,13,12,6,7,17,16,1006,94,7,2.01E+13,1396130400
135373,36,Beijing,ë‘ã__Œ,39.955906,116.474246,122,77,8,36,5,15,10,1,1016,54,7,2.01E+13,1396141200
135385,47,Shanghai,_Ù__µà,31.202842,121.453493,162,81,22,31,15,15,13,11,1014,88,2,2.01E+13,1396141200
135765,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,266,138,15,39,34,19,20,2,1017,30,9,2.01E+13,1396148400
136236,965,Chongqing,_öçë_æ,29.560161,106.555275,76,30,4,22,6,9,15,14,1008,94,16,2.01E+13,1396159200
136289,36,Beijing,ë‘ã__Œ,39.955906,116.474246,50,29,30,6,2,12,25,-11,1013,9,4,2.01E+13,1396170000
136301,47,Shanghai,_Ù__µà,31.202842,121.453493,162,75,38,20,10,12,18,11,1014,65,1,2.01E+13,1396170000
136681,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,153,76,37,33,12,9,23,-1,1014,20,11,2.01E+13,1396177200
137152,965,Chongqing,_öçë_æ,29.560161,106.555275,78,35,15,18,5,7,15,13,1013,88,13,2.01E+13,1396188000
137205,36,Beijing,ë‘ã__Œ,39.955906,116.474246,155,85,30,46,6,9,18,-4,1016,22,7,2.01E+13,1396198800
137217,47,Shanghai,_Ù__µà,31.202842,121.453493,159,78,45,28,7,9,11,8,1016,79,0,2.01E+13,1396198800
137596,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,221,170,20,38,23,12,14,8,1016,67,7,2.01E+13,1396206000
138067,965,Chongqing,_öçë_æ,29.560161,106.555275,80,42,28,7,5,6,14,12,1013,88,7,2.01E+13,1396216800
138120,36,Beijing,ë‘ã__Œ,39.955906,116.474246,230,139,11,43,18,7,15,4,1017,48,2,2.01E+13,1396227600
138132,47,Shanghai,_Ù__µà,31.202842,121.453493,152,57,42,26,8,7,12,8,1016,78,1,2.01E+13,1396227600
138511,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,233,155,10,33,35,13,21,6,1017,38,11,2.01E+13,1396234800
138982,965,Chongqing,_öçë_æ,29.560161,106.555275,117,55,8,26,10,10,14,13,1015,94,2,2.01E+13,1396245600
139035,36,Beijing,ë‘ã__Œ,39.955906,116.474246,188,158,22,33,31,6,23,1,1013,23,7,2.01E+13,1396256400
139047,47,Shanghai,_Ù__µà,31.202842,121.453493,149,50,41,28,7,6,14,9,1012,73,5,2.01E+13,1396256400
139427,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,346,0,38,22,17,13,17,8,1014,55,13,2.01E+13,1396263600
139898,965,Chongqing,_öçë_æ,29.560161,106.555275,104,40,5,17,9,9,14,13,1017,94,2,2.01E+13,1396274400
139950,36,Beijing,ë‘ã__Œ,39.955906,116.474246,209,102,27,40,6,5,12,7,1015,72,2,2.01E+13,1396285200
139962,47,Shanghai,_Ù__µà,31.202842,121.453493,139,48,39,22,6,5,12,11,1014,88,2,2.01E+13,1396285200
140342,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,256,0,14,42,17,20,12,7,1015,72,7,2.01E+13,1396292400
140813,965,Chongqing,_öçë_æ,29.560161,106.555275,78,30,34,12,4,13,14,13,1015,94,4,2.01E+13,1396303200
140865,36,Beijing,ë‘ã__Œ,39.955906,116.474246,270,114,5,30,7,6,11,9,1015,88,4,2.01E+13,1396314000
